Develop an ontology dedicated to {noun}.		Develop an ontology dedicated to Year.	Ontology for Year:1. Entity: Year   - Attributes:       - Value (e.g., 2020, 2023)      - Century (e.g., 20th, 21st)     2. Entity: Month   - Attributes:      - Name (e.g., January, February)      - Number (e.g., 1, 12)   - Relations:       - Part of Year3. Entity: Week   - Attributes:      - Name (e.g., Week 1, Week 2)      - Number (e.g., 1, 52)   - Relations:       - Part of Year       - Part of Month4. Entity: Day   - Attributes:      - Name (e.g., Monday, Tuesday)      - Date (e.g., 1, 31)    - Relations:       - Part of Year       - Part of Month       - Part of Week5. Entity: Season    - Attributes:      - Name (e.g., Spring, Summer, Autumn, Winter)    - Relations:       - Part of Year6. Entity: Quarter    - Attributes:      - Name (e.g., Q1, Q2, Q3, Q4)    - Relations:       - Part of Year7. Entity: Holiday    - Attributes:      - Name (e.g., Christmas, New Year)      - Date (e.g., 25th December, 1st January)    - Relations:       - Part of Year8. Entity: Event    - Attributes:      - Name (e.g., Graduation, World Championship)      - Date (e.g., specific dates, range of dates)    - Relations:       - Occurs during Year9. Entity: Leap Year    - Attributes:        - Value (e.g. 2024, 2028)    - Relations:        - Special type of Year10. Entity: Fiscal Year    - Attributes:        - Start Date        - End Date    - Relations:        - Special type of Year This ontology provides a way to represent and classify information related to a Year and how it relates to other time entities like Month, Day, Week, Season, Quarter and special events and types of year like Holiday, Event, Leap Year and Fiscal Year.
Develop an ontology dedicated to {noun}.	 Provide it in valid Turtle/RDF format, excluding any extra text.	Develop an ontology dedicated to Year. Provide it in valid Turtle/RDF format, excluding any extra text.	```turtle@base <http://example.org/> .@prefix year: <http://example.org/year#> .@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .year:Year a rdfs:Class ;    rdfs:label "Year"@en ;    rdfs:comment "Class representing a year" .year:hasMonth a rdfs:Property ;    rdfs:domain year:Year ;    rdfs:range xsd:integer ;    rdfs:label "has month"@en ;    rdfs:comment "Property representing the number of months in a year" .year:beginningOfYear a rdfs:Property ;    rdfs:domain year:Year ;    rdfs:range xsd:date ;    rdfs:label "beginning of year"@en ;    rdfs:comment "The date when the year starts" .year:endOfYear a rdfs:Property ;    rdfs:domain year:Year ;    rdfs:range xsd:date ;    rdfs:label "end of year"@en ;    rdfs:comment "The date when the year ends" .year:hasLeapYear a rdfs:Property ;    rdfs:domain year:Year ;    rdfs:range xsd:boolean ;    rdfs:label "has leap year"@en ;    rdfs:comment "Property representing if the year is a leap year or not" . ```
Construct an ontology focused on {noun}.		Construct an ontology focused on Year.	1. Year   - First-Level Concepts:       - Calendar Year         - Leap Year         - Common Year      - Fiscal Year         - Federal fiscal year         - State fiscal year         - Corporate fiscal year      - Academic Year         - Semesters         - Quarters         - Trimesters     - Astronomical Year         - Sidereal year        - Tropical year        - Anomalistic year     - Year in Culture        - Literature        - Music        - Sports        - Film   - Related Concepts:      - Month         - January         - February         - March         - April         - May         - June         - July         - August         - September         - October         - November         - December      - Day         - Weekday         - Weekend         - Holiday      - Season         - Winter         - Spring         - Summer         - Autumn   - Attributes:      - Year Number      - Year Beginning      - Year End      - Events      - Duration   - Actions:      - Begin Year      - End Year      - Celebrate New Year      - Plan for Year
Construct an ontology focused on {noun}.	 Provide it in valid Turtle/RDF format, excluding any extra text.	Construct an ontology focused on Year. Provide it in valid Turtle/RDF format, excluding any extra text.	@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .@prefix owl: <http://www.w3.org/2002/07/owl#> .@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .@prefix year: <http://example.org/year#> .year:Year rdf:type owl:Class ;          rdfs:comment "A class to represent a year." .year:hasMonth rdf:type owl:ObjectProperty ;               rdfs:comment "A property that links a year with its months." ;               rdfs:domain year:Year ;               rdfs:range year:Month .year:Month rdf:type owl:Class ;           rdfs:comment "A class to represent a month in a year." .year:hasDays rdf:type owl:DatatypeProperty ;              rdfs:comment "A property that shows the number of days in a month." ;              rdfs:domain year:Month ;              rdfs:range xsd:int .year:hasLeapYear rdf:type owl:DatatypeProperty ;              rdfs:comment "A property that states if a year is a leap year." ;              rdfs:domain year:Year ;              rdfs:range xsd:boolean .year:Year2000 rdf:type year:Year ;               year:hasLeapYear "true"^^xsd:boolean .            year:2000January rdf:type year:Month ;                  year:hasDays "31"^^xsd:int ;                  rdf:subject year:Year2000 ;                  rdf:predicate year:hasMonth ;                  rdf:object year:2000January .
Build an ontology surrounding the concept of a {noun}.		Build an ontology surrounding the concept of a Year.	An ontology classifies and organizes information within a knowledge domain. It includes definitions of concepts (classes), attributes of these concepts (properties), and relationships between them.Concept: YearI. Entities / Classes:     1. Calendar Year: Represents one cycle of earth's revolution around the sun.     2. Fiscal Year: A year as reckoned for taxing or accounting.     3. Academic Year: A period of the year during which students attend educational institutions.     4. Leap Year: A year, occurring once every four years, which has 366 days including 29 February as an intercalary day.     5. Astronomical Year: Based on Earth's astronomical cycles.II. Properties / Attributes:     1. Duration: 365 or 366 days.     2. Months: January, February, March, April, May, June, July, August, September, October, November, December.     3. Quarters: First Quarter (January, February, March), Second Quarter (April, May, June), Third Quarter (July, August, September), Fourth Quarter (October, November, December).     4. Number of Days: Each month has between 28 and 31 days.     5. Starting day and Ending day: Varies depending upon the type of year (e.g.: Calendar year starts from January 1st and ends at December 31st).III. Relationships:     1. Comprising: A year comprises of 12 months, 365/366 days, or 4 quarters.     2. Related to: Fiscal Year is related to Accounting & Financial Tasks, Academic Year is related to Schools, Colleges, and other educational institutions.     3. Based on: Astronomical Year is based on Earth's astronomical cycles.IV. Instances/Samples:     1. Year 2020: Instance of a leap year with 366 days.     2. Fiscal Year 21-22: An instance of the fiscal year (can vary based on nation's accounting and taxation rules).     3. Academic Year 2022-2023 in USA: Typically starting in August or September and continuing through May or June.     4. Julian year: An instance of Astronomical Year, equals to 365.25 days.
Build an ontology surrounding the concept of a {noun}.	 Provide it in valid Turtle/RDF format, excluding any extra text.	Build an ontology surrounding the concept of a Year. Provide it in valid Turtle/RDF format, excluding any extra text.	@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .@prefix owl: <http://www.w3.org/2002/07/owl#> .@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .@prefix : <http://example.org#> .:Year rdf:type owl:Class ;      rdfs:comment "A class representing a year, a unit of time primarily used to measure a period of about 365 days."@en ;      rdfs:label "Year"@en .:hasYear rdf:type owl:DatatypeProperty ;         rdfs:domain :Event ;         rdfs:range xsd:gYear ;         rdfs:label "has year"@en ;         rdfs:comment "The year when the event occurred."@en .:isLeapYear rdf:type owl:DatatypeProperty ;            rdfs:domain :Year ;	        rdfs:range xsd:boolean ;	        rdfs:label "is leap year"@en ;	        rdfs:comment "Indicate if the year is a leap year, meaning it has one additional day in February."@en .:Event rdf:type owl:Class ;       rdfs:comment "A class representing an event that occurs at a specific year."@en ;       rdfs:label "Event"@en .	   :startOfYear rdf:type owl:ObjectProperty ;             rdfs:domain :Year ;	         rdfs:range :Day ;	         rdfs:label "start of year"@en ;	         rdfs:comment "The first day of the year."@en . :endOfYear rdf:type owl:ObjectProperty ;           rdfs:domain :Year ;	       rdfs:range :Day ;	       rdfs:label "end of year"@en ;	       rdfs:comment "The last day of the year."@en .:Day rdf:type owl:Class;      rdfs:comment "A class representing a day within a year."@en;      rdfs:label "Day"@en.
Formulate an ontology related to {noun}.		Formulate an ontology related to Year.	An ontology would provide a structural framework representing the facts, relations, and categories regarding the concept of 'Year'. Here's a simple way to formulate an ontology related to 'Year':1. Concept Node: 'Year'   - Sub-Concepts: Solar Year, Lunar Year, Calendar Year, Fiscal Year, Academic Year, Leap Year2. Properties/Attributes of 'Year':   - Duration: Number of days in a year (365, 366 for leap year)   - Start Date: First day of the year (usually January 1st for Gregorian calendar)   - End Date: Last day of the year (usually December 31st for Gregorian calendar)   - Number of Months: 12 months are in a year   - Number of Weeks: Approximately 52 weeks3. Relations:   - 'Leap Year' is a type of 'Year' (is-a relation)   - 'Year' has 'Months' (has-a relation)   - 'Year' has 'Weeks' (has-a relation)   - 'Year' has 'Days' (has-a relation)4. Functions :   - IsLeap(Year): Determine if a year is a leap year   - GetStartDate(Year): Determine the start date of a type of year (Fiscal, Academic, etc.)   - GetEndDate(Year): Determine the end date of a type of year   - GetDuration(Year): Determine the duration of a year in days5. Instances of 'Year':   - Specific years like 1997, 2022, 3000, etc.Please note this is a simple ontology of the concept 'Year'. Depending on the use case it can be expanded with significantly more detail and complexity.
Formulate an ontology related to {noun}.	 Provide it in valid Turtle/RDF format, excluding any extra text.	Formulate an ontology related to Year. Provide it in valid Turtle/RDF format, excluding any extra text.	```@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .@prefix ex: <http://example.org/> .# Defining the class Yearex:Year a rdfs:Class ;# Defining the properties of the class Yearex:hasMonth a rdfs:Property ;    rdfs:domain ex:Year ;    rdfs:range ex:Month .ex:hasDay a rdfs:Property ;    rdfs:domain ex:Year ;    rdfs:range ex:Day .# Defining the subclasses of the class Yearex:LeapYear a rdfs:Class ;    rdfs:subClassOf ex:Year.ex:CommonYear a rdfs:Class ;    rdfs:subClassOf ex:Year.# Defining the objects of the class Yearex:Year2021 a ex:Year ;    ex:hasMonth ex:January;    ex:hasDay ex:Day1.ex:Year2020 a ex:LeapYear ;    ex:hasMonth ex:February;    ex:hasDay ex:Day29.ex:Year2019 a ex:CommonYear ;    ex:hasMonth ex:February;    ex:hasDay ex:Day28.  # Defining the objects of the class Month and Dayex:January a ex:Month.ex:February a ex:Month.ex:Day1 a ex:Day.ex:Day28 a ex:Day.ex:Day29 a ex:Day.```
Establish an ontology based on {noun}.		Establish an ontology based on Year.	An ontology based on Year could be structured in the following way:1. Entity: Year	- Attributes: Number, Decade, Century, Millennium	- Relations: follows (previous year), precedes (next year)	2. Entity: Century	- Attributes: Number, Start Year, End Year	- Relations: includes (years), follows (preceding century), precedes (following century)3. Entity: Decade	- Attributes: Number, Start Year, End Year	- Relations: includes (years), part of (century), follows (preceding decade), precedes (following decade)4. Entity: Millennium	- Attributes: Number, Start Year, End Year	- Relations: includes (centuries/years), follows (preceding millennium), precedes (following millennium)	5. Entity: Era	- Attributes: Name, Start Year, End Year	- Relations: includes (millennia/centuries/years)6. Entity: Age	- Attributes: Name, Start Year, End Year	- Relations: part of (era), includes (millennia/centuries/years)This ontology can capture the hierarchical nature of chronological time, but is not exhaustive and could be expanded or modified depending on specific requirements. The relations between the entities allow for queries such as, "What century does the year 1750 belong to?" or "What years are in the 21st century?".
Establish an ontology based on {noun}.	 Provide it in valid Turtle/RDF format, excluding any extra text.	Establish an ontology based on Year. Provide it in valid Turtle/RDF format, excluding any extra text.	```xml  @prefix base: <http://example.org/base#> .@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .base:Year a rdfs:Class ;          rdfs:label "Year"@en ;          rdfs:comment "A particular year in the Gregorian calendar"@en .base:hasMonth a rdf:Property ;          rdfs:domain base:Year ;          rdfs:range base:Month ;          rdfs:label "has month"@en ;          rdfs:comment "Relates a year to its months"@en .base:Month a rdfs:Class ;          rdfs:label "Month"@en ;          rdfs:comment "A particular month of a year"@en .base:hasDay a rdf:Property ;          rdfs:domain base:Month ;          rdfs:range base:Day ;          rdfs:label "has day"@en ;          rdfs:comment "Relates a month to its days"@en .base:Day a rdfs:Class ;          rdfs:label "Day"@en ;          rdfs:comment "A particular day of a month"@en .base:inYear a rdf:Property ;          rdfs:domain base:Day ;          rdfs:range base:Year ;          rdfs:label "in year"@en ;          rdfs:comment "Provides the year of a given day"@en .base:Year2022 a base:Year ;          rdfs:label "2022" .base:January a base:Month ;          rdfs:label "January" ;          base:inYear base:Year2122 .base:Day1 a base:Day ;          rdfs:label "1" ;          base:inYear base:Year2022 ;          base:inMonth base:January .```  This Turtle/RDF format establishes an ontology based on Year. The base of the ontology is Year, and it branches into months, and days. Some example instances are also provided for year 2022, January as a month and 1 as a day in January 2022.
Design an ontology to encompass {noun}.		Design an ontology to encompass Year.	Class: YearSubclasses: 1. LeapYear2. CommonYear3. TropicalYear4. SiderealYearProperties:1. NumberOfDays2. StartDate3. EndDate4. IsLeap5. CalendarType: Gregorian, Julian, Lunar, Chinese etc.Relation with other classes:1. Has_Month2. Has_Week3. Has_DayFor Instance: Class Year Instances: 1. Year20222. Year20213. Year2020Comments: This ontology describes the representation of years and their different types such as leap year, common year, tropical year, sidereal year including the relationships with other entities like months, weeks and days. The property calendar type allows for differences in how years are calculated across different calendar systems such as Gregorian, Julian, Lunar, and Chinese.
Design an ontology to encompass {noun}.	 Provide it in valid Turtle/RDF format, excluding any extra text.	Design an ontology to encompass Year. Provide it in valid Turtle/RDF format, excluding any extra text.	@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .@prefix owl: <http://www.w3.org/2002/07/owl#> .@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .@prefix : <http://example.org/year#> .:Year rdf:type owl:Class ;  rdfs:label "Year"@en ;  rdfs:comment "A class representing calendar years"@en ;  rdfs:subClassOf xsd:integer ;  .:hasYear rdf:type owl:DatatypeProperty ;  rdfs:label "has year"@en ;  rdfs:comment "Relates an entity to a calendar year"@en ;  rdfs:domain [ rdf:type owl:Class ] ;  rdfs:range :Year ;  .:isYearOf rdf:type owl:InverseFunctionalProperty ;  rdfs:label "is the year of"@en ;  rdfs:comment "Inverse of hasYear property"@en ;  owl:inverseOf :hasYear ;  .  :since rdf:type owl:TransitiveProperty ;  rdfs:label "since"@en ;  rdfs:comment "Relates a year to all preceding years"@en ;  rdfs:domain :Year ;  rdfs:range :Year ;  .:until rdf:type owl:TransitiveProperty ;  rdfs:label "until"@en ;  rdfs:comment "Relates a year to all following years"@en ;  rdfs:domain :Year ;  rdfs:range :Year ;  .  :inDecade rdf:type owl:ObjectProperty ;  rdfs:label "in decade"@en ;  rdfs:comment "Relates a year to the decade it belongs to"@en ;  rdfs:domain :Year ;  rdfs:range :Decade ;  .:Decade rdf:type owl:Class ;  rdfs:label "Decade"@en ;  rdfs:comment "A class representing decades"@en ;  .
Generate an ontology that covers {noun}.		Generate an ontology that covers Year.	1. Ontology Concept: Year   subclasses:      - Calendar Year     - Fiscal Year     - Academic Year     - Leap Year     - Julian Year     - Gregorian Year     - Lunar Year     - Solar Year        properties:      - Number of Days: (Integer)     - Starting Date: (Date)     - Ending Date: (Date)2. Ontology Concept: Calendar Year   properties:      - Year Number: (Integer)3. Ontology Concept: Fiscal Year   properties:     - Is fiscal year of: (Organization)     - Budget set during: (Budget)4. Ontology Concept: Academic Year   properties:      - Is academic year of: (School/University)     - Contains: (Academic Terms)5. Ontology Concept: Leap Year   properties:     - Leap Year Calculation: (Boolean expression)6. Ontology Concept: Julian Year   properties:     - In Julian Calendar: (Boolean)7. Ontology Concept: Gregorian Year   properties:      - In Gregorian Calendar: (Boolean)8. Ontology Concept: Lunar Year   properties:      - Has Lunar Phases: (Phases)9. Ontology Concept: Solar Year   properties:      - Has Solar Phases: (Phases)10. Ontology Concept: Phases    subclasses:      - Lunar Phases      - Solar Phases11. Ontology Concept: Lunar Phases   properties:     - Name of Phase: (Text)12. Ontology Concept: Solar Phases   properties:     - Name of Phase: (Text)13. Ontology Concept: Academic Terms   subclasses:      - Semesters      - Quarters14. Ontology Concept: Semesters   properties:     - StartDate: (Date)     - EndDate: (Date)15. Ontology Concept: Quarters   properties:     - StartDate: (Date)     - EndDate: (Date)16. Ontology Concept: Budget   properties:     - Monetary Amount: (Currency Value)     - Set For: (Fiscal Year)     - Organization: (Organization)17. Ontology Concept: Organization   properties:     - Has Fiscal Year: (Fiscal Year)     - Budget: (Budget)18. Ontology Concept: School/University   properties:     - Has Academic Year: (Academic Year)     - Academic Terms: (Academic Terms) Please note that this a simplified version of year ontology and could be expanded based on the specific use-case.
Generate an ontology that covers {noun}.	 Provide it in valid Turtle/RDF format, excluding any extra text.	Generate an ontology that covers Year. Provide it in valid Turtle/RDF format, excluding any extra text.	@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .@prefix owl: <http://www.w3.org/2002/07/owl#> .@prefix time: <http://www.w3.org/2006/time#> .@prefix year: <http://example.org/year#> .year:Year a rdfs:Class ;  rdfs:label "Year"@en ;  rdfs:comment "Represents a year"@en ;  rdfs:subClassOf time:TemporalEntity ;.year:hasMonth a rdf:Property ;  rdfs:label "has month"@en ;  rdfs:comment "The property that links a year to its months"@en ;  rdfs:range year:Month ;  rdfs:domain year:Year ;.year:Month a rdfs:Class ;  rdfs:label "Month"@en ;  rdfs:comment "Represents a month"@en ;  rdfs:subClassOf time:TemporalEntity ;.year:Month rdf:type owl:Class ;  rdfs:subClassOf time:TemporalUnit ;.year:hasDay a rdf:Property ;  rdfs:label "has day"@en ;  rdfs:comment "The property that links a month to its days"@en ;  rdfs:range year:Day ;  rdfs:domain year:Month ;.year:Day a rdfs:Class ;  rdfs:label "Day"@en ;  rdfs:comment "Represents a day"@en ;  rdfs:subClassOf time:TemporalEntity ;.year:Day rdf:type owl:Class ;  rdfs:subClassOf time:TemporalUnit ;.year:hasYearNumber a rdf:Property ;  rdfs:label "has year number"@en ;  rdfs:comment "The property that links a year to its numerical representation"@en ;  rdfs:range xsd:integer ;  rdfs:domain year:Year ;.
Produce an ontology specifically for {noun}.		Produce an ontology specifically for Year.	Class: Year    Subclass: Leap Year        Attribute: 366 Days        Relationship: Occurs every 4 years    Subclass: Common Year        Attribute: 365 Days        Relationship: Occurs 3 out of 4 years    Subclass: Julian Year        Attribute: 365.25 Days        Relationship: Part of Julian calendar    Subclass: Gregorian Year        Attribute: 365.2425 Days        Relationship: Part of Gregorian calendar    Subclass: Astronomical Year        Attribute: Varies depending on definition (Tropical year, Sidereal year, etc.)        Relationship: Used in astronomy    Subclass: Fiscal Year        Attribute: Can start and end any time throughout the year, is specific to the organization        Relationship: Used in financial and economic contexts      Attribute: Consists of 12 Months    Attribute: Lasts 365 or 366 days    Relationship: Follows a Year    Relationship: Precedes a Year    Relationship: Made up of MonthsInstance: 2020    Relationship: Is a Leap Year    Relationship: Follows 2019    Relationship: Precedes 2021Instance: 2021    Relationship: Is a Common Year    Relationship: Follows 2020    Relationship: Precedes 2022Instance: Fiscal year 2021-2022 for a business    Relationship: Is a Fiscal Year    Relationship: Starts in 2021    Relationship: Ends in 2022
Produce an ontology specifically for {noun}.	 Provide it in valid Turtle/RDF format, excluding any extra text.	Produce an ontology specifically for Year. Provide it in valid Turtle/RDF format, excluding any extra text.	@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .@prefix owl: <http://www.w3.org/2002/07/owl#> .@prefix : <http://example.org/#> .:Year rdf:type rdfs:Class ;    rdfs:subClassOf xsd:integer ;    rdfs:label "Year"@en ;    rdfs:comment "Annotated Year"@en .:isLeapYear rdf:type rdf:Property ;    rdfs:domain :Year ;    rdfs:range xsd:boolean ;    rdfs:label "is leap year"@en ;    rdfs:comment "Determines if the year is a leap year"@en .   :hasSeason rdf:type rdf:Property ;    rdfs:domain :Year ;    rdfs:range :Season ;    rdfs:label "has season"@en ;    rdfs:comment "Joining property between Year and Season"@en .:Season rdf:type rdfs:Class ;    rdfs:label "Season"@en ;    rdfs:comment "Four periods of the year: Spring, Summer, Autumn and Winter"@en .:Spring rdf:type :Season ;	rdfs:label "Spring"@en .:Summer rdf:type :Season ;	rdfs:label "Summer"@en .:Autumn rdf:type :Season ;	rdfs:label "Autumn"@en .:Winter rdf:type :Season ;	rdfs:label "Winter"@en .
Compose an ontology to represent {noun}.		Compose an ontology to represent Year.	1. Ontology Header:Schema Name: YearCreator: AnonymousVersion: 1.02. Entities:- Year3. Attributes:- YearNumber (integer): The actual numerical value of the year.- IsLeapYear (boolean): A boolean value indicating whether the year is a leap year or not.- Has366Days (boolean): A boolean value indicating whether the year has 366 days or not.- IsAD (boolean): A boolean value indicating whether the year is in the ANNO DOMINI era (the Common Era).- IsBC (boolean): A boolean value indicating whether the year is in the "Before Christ" era (or Before the Common Era).- Century (integer): The century to which the year belongs.4. Relationships:- PrecededBy (Year): This attribute indicates the year prior to the current one.- FollowedBy (Year): This attribute indicates the year following the current one.- Contains(Days): This showing the relationship to the days it contains.  5. Functions or Methods:- CalculateIfLeapYear(): This method computes if a year is a leap year.- DetermineCentury(): This calculates the century of the given year.  6. Constraints:- Year value must be an integer.- Year can not be a future year.- Year may either be BC or AD, not both.- Leap years should follow Gregorian calendar rules.7. Instances:- Year: 2000, YearNumber: 2000, IsLeapYear: True, Has366Days: True, IsAD: True, IsBC: False, Century: 20, PrecededBy: 1999, FollowedBy: 2001.- Year: 300 BC, YearNumber: -300, IsLeapYear: False, Has366Days: False, IsAD: False, IsBC: True, Century: 4, PrecededBy: 301 BC, FollowedBy: 299 BC.
Compose an ontology to represent {noun}.	 Provide it in valid Turtle/RDF format, excluding any extra text.	Compose an ontology to represent Year. Provide it in valid Turtle/RDF format, excluding any extra text.	@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .@prefix owl: <http://www.w3.org/2002/07/owl#> .@prefix ex: <http://example.com#> .ex:Year a rdfs:Class ;  rdfs:label "Year"@en ;  rdfs:comment "An entity to represent a calendar year."@en ;  rdfs:subClassOf xsd:integer ;  owl:equivalentClass [ a owl:Restriction ;    owl:onProperty ex:hasYear ;    owl:allValuesFrom xsd:integer ] .ex:hasYear a rdf:Property ;  rdfs:label "has year"@en ;  rdfs:comment "Relationship between an entity and its year."@en ;  rdfs:range ex:Year ;  rdfs:domain [ a owl:Class ;    owl:unionOf (xsd:dateTime ex:Event) ] .
Make an ontology that pertains to {noun}.		Make an ontology that pertains to Year.	1. Year    - Attributes:        - Number (e.g., 2022, 1989, etc.)        - Type (e.g., Leap Year, Common Year)    - Relations:        - Belongs to: Century        - Has: Months    - Sub-classes:        - Leap year: A year, occurring once every four years, which has 366 days including February 29 as an intercalary day.        - Common year: Any year which is not a leap year.2. Month    - Attributes:        - Name (e.g., January, February, etc.)        - Number (e.g., 1 for January, 2 for February, etc.).        - Days (e.g., 28 - 31 days)    - Relations:        - Belongs to: Year        - Has: Days    - Sub-classes:        - Gregorian Months: The 12 months in the Gregorian calendar.3. Day    - Attributes:        - Date (1 - 31)        - Day of the week (e.g., Monday, Tuesday, etc.)    - Relations:        - Belongs to: Month    - Sub-classes:        - Weekdays: Monday to Friday.        - Weekends: Saturday and Sunday.4. Century    - Attributes:        - Number (e.g., 21st Century, 20th Century, etc.)    - Relations:        - Has: Years5. Decade    - Attributes:        - Number (e.g., 2020s, 1990s, etc.)    - Relations:        - Belongs to: Century        - Has: Years6. Epoch    - Attributes:        - Name (e.g., Holocene, Anthropocene, etc.)    - Relations:        - Has: Centuries    - Sub-classes:        - Geologic Epochs        - Historic Epochs7. Era    - Attributes:        - Name (e.g., Victorian Era, Renaissance, etc.)    - Relations:        - Has: Years, Decades, Centuries, Epoch    - Sub-classes:        - Historic Eras        - Geologic Eras        - Cultural Eras8. Millennia    - Attributes:        - Number (e.g., 1st millennium, 2nd millennium, etc.)    - Relation:        - Has: Centuries    - Sub-classes        - Gregorian Millennia: Thousands of years in the Gregorian calendar.
