noun: 	 countOfFiles
Air: 	 29
Area: 	 25
Art: 	 32
Back: 	 26
Body: 	 29
Book: 	 32
Business: 	 20
Car: 	 24
Case: 	 30
Change: 	 25
Child: 	 33
City: 	 29
Community: 	 30
Company: 	 30
Couch: 	 32
Country: 	 25
Day: 	 28
Door: 	 27
Education: 	 22
End: 	 30
Eye: 	 31
Face: 	 28
Fact: 	 28
Family: 	 28
Father: 	 30
Force: 	 33
Friend: 	 33
FullPrompts: 	 2864
FullPrompts-v1: 	 205
Game: 	 30
Girl: 	 34
Government: 	 25
Group: 	 31
Guy: 	 22
Hand: 	 26
Head: 	 24
Health: 	 30
History: 	 19
Home: 	 32
Hour: 	 23
House: 	 27
Idea: 	 26
Information: 	 34
Issue: 	 28
Job: 	 32
Kid: 	 28
Kind: 	 32
Law: 	 23
Level: 	 25
Life: 	 28
Line: 	 27
Lot: 	 25
Loveseat: 	 28
Man: 	 30
Member: 	 27
Minute: 	 19
Moment: 	 22
Money: 	 31
Month: 	 26
Morning: 	 25
Mother: 	 33
Name: 	 24
Night: 	 26
Number: 	 27
Office: 	 32
Others: 	 22
Parent: 	 35
Part: 	 30
Party: 	 29
People: 	 23
Person: 	 28
Place: 	 29
Point: 	 18
Power: 	 28
President: 	 29
Problem: 	 29
Program: 	 26
Question: 	 22
Reason: 	 25
Research: 	 28
Result: 	 29
Right: 	 25
Room: 	 26
School: 	 29
Service: 	 23
Side: 	 33
Sofa: 	 30
State: 	 24
Story: 	 24
Student: 	 28
Study: 	 29
System: 	 30
Teacher: 	 25
Team: 	 35
Thing: 	 24
Time: 	 26
War: 	 27
Water: 	 30
Way: 	 29
Week: 	 25
Woman: 	 35
Word: 	 28
Work: 	 35
World: 	 30
Year: 	 25
chair: 	 26
chair_FullPrompts: 	 26
incomplete_Time: 	 27
