Noun,Class,Jaro-Winkler_Score,Cosine_Sim_Score
individual,individual,1.0,0.9999998807907104
individual,person,0.4222222222222222,0.6446974277496338
individual,basis,0.43333333333333335,0.5756497979164124
individual,purpose,0.0,0.5724400281906128
individual,ability,0.49523809523809526,0.5696001648902893
individual,manner,0.4222222222222222,0.5643465518951416
individual,responsibility,0.5619047619047619,0.5543397068977356
individual,participant,0.5242424242424243,0.5541069507598877
individual,number,0.4222222222222222,0.5169052481651306
individual,respect,0.0,0.5142199993133545
individual,majority,0.4083333333333334,0.5120649933815002
individual,organization,0.49444444444444446,0.5088285207748413
individual,human,0.43333333333333335,0.5055450797080994
individual,opportunity,0.29393939393939394,0.5036938190460205
individual,order,0.43333333333333335,0.5021226406097412
individual,desire,0.3444444444444444,0.4979993402957916
individual,information,0.5045454545454545,0.4979129135608673
individual,interest,0.48333333333333334,0.4978637397289276
individual,objective,0.4740740740740741,0.4952794909477234
individual,employee,0.0,0.4946991205215454
individual,level,0.43333333333333335,0.4923423230648041
individual,knowledge,0.4740740740740741,0.4904817044734955
individual,patient,0.49523809523809526,0.4900076687335968
individual,employer,0.0,0.4891186058521271
individual,instance,0.5583333333333333,0.4870509207248688
individual,entity,0.3444444444444444,0.48572903871536255
individual,result,0.4222222222222222,0.48261603713035583
individual,state,0.0,0.4761420488357544
individual,place,0.0,0.47444576025009155
individual,process,0.0,0.47362077236175537
individual,focus,0.43333333333333335,0.4720045328140259
individual,fact,0.0,0.4698471426963806
individual,belief,0.4222222222222222,0.4658653140068054
individual,reason,0.4222222222222222,0.46552833914756775
individual,change,0.4222222222222222,0.4628865420818329
individual,society,0.4142857142857143,0.4613785445690155
individual,value,0.5333333333333333,0.46112096309661865
individual,attention,0.4740740740740741,0.4599785804748535
individual,institution,0.5848484848484848,0.45971396565437317
individual,use,0.0,0.4594704806804657
individual,subject,0.0,0.4592525064945221
individual,task,0.0,0.4565037190914154
individual,component,0.4037037037037037,0.45474281907081604
individual,consumer,0.48333333333333334,0.4546907842159271
individual,principle,0.6148148148148148,0.4542016088962555
individual,public,0.4222222222222222,0.45415714383125305
individual,student,0.32857142857142857,0.45292919874191284
individual,quantity,0.48333333333333334,0.4524921476840973
individual,activity,0.44722222222222224,0.4514152407646179
individual,customer,0.0,0.4509178698062897
individual,organisation,0.49444444444444446,0.4501824975013733
individual,status,0.4222222222222222,0.4472803771495819
individual,access,0.0,0.44643279910087585
individual,user,0.0,0.4459621012210846
individual,context,0.4142857142857143,0.4454565942287445
individual,parent,0.4222222222222222,0.44503337144851685
individual,perception,0.39999999999999997,0.4436415731906891
individual,whole,0.0,0.4436027407646179
individual,impact,0.4222222222222222,0.44302210211753845
individual,care,0.0,0.4417153596878052
individual,risk,0.45,0.4408898651599884
individual,consequence,0.46060606060606063,0.44068923592567444
individual,position,0.48333333333333334,0.4394640624523163
individual,community,0.4333333333333333,0.4387427866458893
individual,set,0.0,0.43858590722084045
individual,outcome,0.0,0.43746671080589294
individual,charge,0.0,0.43699055910110474
individual,time,0.45,0.43666836619377136
individual,circumstance,0.5166666666666667,0.43624788522720337
individual,account,0.32857142857142857,0.4355442225933075
individual,life,0.45,0.43512606620788574
individual,contribution,0.41111111111111115,0.4348030984401703
individual,point,0.5333333333333333,0.43433845043182373
individual,relationship,0.4055555555555556,0.4339275360107422
individual,ownership,0.4740740740740741,0.4335485100746155
individual,effort,0.0,0.433128297328949
individual,assistance,0.4666666666666666,0.4325585961341858
individual,influence,0.5444444444444444,0.43180131912231445
individual,recipient,0.4740740740740741,0.42879900336265564
individual,reward,0.4222222222222222,0.42759886384010315
individual,environment,0.41313131313131307,0.4256528317928314
individual,asset,0.0,0.42440515756607056
individual,group,0.43333333333333335,0.42427343130111694
individual,authority,0.4037037037037037,0.42383453249931335
individual,course,0.0,0.4231889247894287
individual,behalf,0.0,0.4217170476913452
individual,decision,0.44722222222222224,0.42001935839653015
individual,child,0.5333333333333333,0.4189023971557617
individual,employment,0.0,0.41851937770843506
individual,option,0.5111111111111111,0.41628971695899963
individual,freedom,0.4142857142857143,0.4141134023666382
individual,difficulty,0.6,0.41274625062942505
individual,plan,0.45,0.41109561920166016
individual,type,0.0,0.41035130620002747
individual,shape,0.0,0.4097091257572174
individual,service,0.32857142857142857,0.4082818925380707
individual,distribution,0.5055555555555555,0.40818703174591064
individual,representation,0.3936507936507936,0.4066706895828247
individual,gender,0.5111111111111111,0.40623167157173157
individual,practice,0.4083333333333334,0.40599456429481506
individual,situation,0.5314814814814816,0.4059714078903198
individual,judgment,0.4083333333333334,0.4059222936630249
individual,system,0.0,0.4057639539241791
individual,portion,0.4142857142857143,0.4054507911205292
individual,record,0.4222222222222222,0.4032174348831177
individual,rest,0.0,0.4027365744113922
individual,list,0.45,0.4025261700153351
individual,association,0.41313131313131307,0.4015122950077057
