Noun,Class,Jaro-Winkler_Score,Cosine_Sim_Score
location,location,1.0,1.0
location,location,1.0,1.0
location,area,0.4583333333333333,0.6248049139976501
location,destination,0.5598484848484849,0.5925449132919312
location,place,0.5472222222222222,0.5917389392852783
location,residence,0.49074074074074076,0.4977077543735504
location,access,0.3611111111111111,0.49529731273651123
location,information,0.7651515151515151,0.4944653809070587
location,restaurant,0.44722222222222224,0.4924483299255371
location,property,0.5,0.48957762122154236
location,city,0.5833333333333334,0.4877404272556305
location,town,0.4583333333333333,0.4784225523471832
location,station,0.7130952380952381,0.4694175720214844
location,position,0.6833333333333332,0.4625811278820038
location,region,0.5138888888888888,0.456509530544281
location,address,0.4226190476190476,0.4521162509918213
location,right,0.44166666666666665,0.4426075220108032
location,service,0.3452380952380952,0.44025710225105286
location,tourist,0.4900793650793651,0.4380185604095459
location,view,0.0,0.4287136197090149
location,store,0.3833333333333333,0.4226900637149811
location,event,0.44166666666666665,0.41436871886253357
location,point,0.5472222222222222,0.4112307131290436
location,village,0.5119047619047619,0.4094580113887787
location,travel,0.4305555555555555,0.40355628728866577
location,shop,0.4583333333333333,0.40211790800094604
location,room,0.4583333333333333,0.3977174758911133
location,value,0.3833333333333333,0.39686107635498047
location,house,0.44166666666666665,0.3955436050891876
location,office,0.5138888888888888,0.3938620388507843
location,street,0.4305555555555555,0.39312252402305603
location,owner,0.44166666666666665,0.39214083552360535
location,time,0.0,0.389639288187027
location,resource,0.4166666666666667,0.386677086353302
location,unit,0.4166666666666667,0.3866427540779114
location,environment,0.43813131313131315,0.3863435983657837
location,image,0.44166666666666665,0.38402238488197327
location,database,0.5,0.382516473531723
location,user,0.0,0.38166606426239014
location,transportation,0.6150793650793651,0.3779963552951813
location,number,0.0,0.3738775849342346
location,opportunity,0.5598484848484849,0.37383124232292175
location,home,0.4583333333333333,0.37274169921875
location,change,0.5277777777777778,0.37228089570999146
location,transport,0.49074074074074076,0.36998239159584045
location,distribution,0.5277777777777778,0.3681092858314514
location,option,0.8194444444444445,0.364766001701355
location,customer,0.47222222222222215,0.36359933018684387
location,scene,0.44166666666666665,0.3618616759777069
location,object,0.625,0.3614758849143982
location,vehicle,0.3452380952380952,0.36059823632240295
location,part,0.5833333333333334,0.36054426431655884
location,portion,0.7797619047619048,0.3604424297809601
location,arrival,0.5119047619047619,0.3584197759628296
location,estate,0.3611111111111111,0.35820671916007996
location,website,0.3452380952380952,0.35818374156951904
location,website,0.3452380952380952,0.35818374156951904
location,coast,0.6833333333333332,0.3577796220779419
location,weather,0.5119047619047619,0.3570129871368408
location,island,0.625,0.3569173812866211
location,department,0.5583333333333333,0.35579341650009155
location,end,0.0,0.3548662066459656
location,road,0.5833333333333334,0.3541163206100464
location,situation,0.6601851851851852,0.3538338541984558
location,source,0.5277777777777778,0.35335293412208557
location,parcel,0.3611111111111111,0.3506263196468353
location,feature,0.5119047619047619,0.34969717264175415
location,request,0.4226190476190476,0.34820330142974854
location,cemetery,0.5,0.3477778434753418
location,branch,0.3611111111111111,0.34713053703308105
location,target,0.5277777777777778,0.3460003733634949
location,list,0.5833333333333334,0.34419581294059753
location,hospital,0.5833333333333334,0.3438635766506195
location,job,0.4861111111111111,0.34360697865486145
location,community,0.5935185185185184,0.34254691004753113
location,entry,0.44166666666666665,0.3423149287700653
location,type,0.0,0.3414584696292877
location,level,0.44166666666666665,0.34109586477279663
location,condition,0.6944444444444443,0.3410414457321167
location,public,0.5138888888888888,0.3400403559207916
location,guide,0.44166666666666665,0.3387890160083771
location,field,0.44166666666666665,0.33795660734176636
location,instance,0.47222222222222215,0.3379303514957428
location,set,0.4861111111111111,0.33743762969970703
location,country,0.4900793650793651,0.3363181948661804
location,individual,0.4083333333333334,0.33272096514701843
location,detail,0.5138888888888888,0.33121955394744873
location,ownership,0.49074074074074076,0.3301037847995758
location,document,0.5833333333333334,0.33009785413742065
location,page,0.4583333333333333,0.3290809988975525
location,origin,0.625,0.32737261056900024
location,ground,0.5277777777777778,0.32634586095809937
location,status,0.3611111111111111,0.32479622960090637
location,manager,0.4226190476190476,0.3245548605918884
location,person,0.5277777777777778,0.32345345616340637
location,coordinate,0.7154761904761905,0.32309749722480774
location,result,0.4305555555555555,0.3226756453514099
location,equipment,0.49074074074074076,0.3219611346721649
location,cuisine,0.6011904761904762,0.32177940011024475
location,system,0.4305555555555555,0.3200756311416626
location,construction,0.5833333333333334,0.3199460208415985
location,transaction,0.654040404040404,0.3193788528442383
location,meeting,0.6011904761904762,0.3185969889163971
location,photo,0.6583333333333333,0.3181431293487549
location,marker,0.4305555555555555,0.317776083946228
location,asset,0.5499999999999999,0.31724467873573303
location,company,0.6071428571428571,0.3167121112346649
location,family,0.5277777777777778,0.3164774179458618
location,food,0.4583333333333333,0.3147676885128021
location,provider,0.5,0.31441694498062134
location,rest,0.4583333333333333,0.3138406574726105
location,county,0.5138888888888888,0.3138093650341034
location,use,0.0,0.312256783246994
location,line,0.4583333333333333,0.3122099041938782
location,item,0.4583333333333333,0.31099510192871094
location,order,0.44166666666666665,0.31042420864105225
location,ocean,0.7666666666666666,0.3102218806743622
location,market,0.5277777777777778,0.3101290762424469
location,cabin,0.7666666666666666,0.30988526344299316
location,suspect,0.5119047619047619,0.3092115819454193
location,buyer,0.0,0.3087025582790375
location,account,0.6464285714285715,0.3082975149154663
location,idea,0.4583333333333333,0.3082290589809418
location,plan,0.5833333333333334,0.30720505118370056
location,size,0.0,0.3069855272769928
location,employee,0.5,0.304993599653244
location,escape,0.5277777777777778,0.3035985827445984
location,reason,0.5138888888888888,0.30348873138427734
location,emergency,0.41203703703703703,0.3032119870185852
location,whole,0.3833333333333333,0.30249112844467163
location,activity,0.5833333333333334,0.30085867643356323
location,timezone,0.5,0.29879269003868103
location,birthplace,0.44722222222222224,0.29856517910957336
location,river,0.0,0.29690295457839966
location,major,0.3833333333333333,0.2965080142021179
location,chance,0.5277777777777778,0.29644855856895447
location,return,0.5277777777777778,0.2962348461151123
location,guest,0.44166666666666665,0.29600682854652405
location,focus,0.5499999999999999,0.2954304814338684
location,resident,0.47222222222222215,0.2954047918319702
location,component,0.5648148148148148,0.29478973150253296
location,castle,0.625,0.294695645570755
location,courthouse,0.5499999999999999,0.29380670189857483
location,course,0.3611111111111111,0.2937559485435486
location,couple,0.3611111111111111,0.2930164337158203
location,employment,0.5583333333333333,0.29253047704696655
location,box,0.4861111111111111,0.29227128624916077
location,permission,0.5583333333333333,0.2921799421310425
location,train,0.6583333333333333,0.29019609093666077
location,context,0.4900793650793651,0.2891821265220642
location,bank,0.4583333333333333,0.2880145311355591
location,mission,0.6011904761904762,0.2871617376804352
location,mission,0.6011904761904762,0.2871617376804352
location,purpose,0.4226190476190476,0.28591397404670715
location,message,0.4226190476190476,0.28581738471984863
location,monument,0.47222222222222215,0.2852160632610321
location,tool,0.4166666666666667,0.2850823998451233
location,church,0.4305555555555555,0.2846854031085968
location,sale,0.4166666666666667,0.2846151292324066
location,thing,0.44166666666666665,0.28410518169403076
location,patient,0.6904761904761904,0.2837633788585663
location,knowledge,0.41203703703703703,0.2831718325614929
location,cave,0.5833333333333334,0.2822844982147217
location,input,0.44166666666666665,0.28196075558662415
location,institution,0.6212121212121212,0.28188708424568176
location,background,0.5499999999999999,0.2818549573421478
location,attention,0.6601851851851852,0.2816530168056488
location,shift,0.3833333333333333,0.28158918023109436
location,fact,0.5972222222222222,0.2810684144496918
location,association,0.7418831168831169,0.2810468375682831
location,occasion,0.8333333333333334,0.28067830204963684
location,acre,0.4166666666666667,0.2803676724433899
location,state,0.3833333333333333,0.28013697266578674
location,character,0.5694444444444444,0.27977684140205383
location,shape,0.44166666666666665,0.27872419357299805
location,tree,0.0,0.2786506712436676
location,wedding,0.5119047619047619,0.2783656716346741
location,assistance,0.5499999999999999,0.27755096554756165
location,dimension,0.4583333333333333,0.276760458946228
location,tavern,0.5277777777777778,0.2766631245613098
location,project,0.6011904761904762,0.27625226974487305
location,tour,0.4583333333333333,0.27555450797080994
location,frequency,0.41203703703703703,0.2749640643596649
location,manner,0.4305555555555555,0.27463003993034363
location,occupation,0.8583333333333334,0.2744297981262207
location,style,0.3833333333333333,0.27424341440200806
location,charge,0.5277777777777778,0.274165540933609
location,process,0.5119047619047619,0.2723977565765381
location,task,0.4583333333333333,0.27157852053642273
location,product,0.6011904761904762,0.270685613155365
location,university,0.31666666666666665,0.27041497826576233
location,pet,0.4861111111111111,0.26853227615356445
location,representation,0.5273809523809524,0.2672542333602905
location,warrant,0.4900793650793651,0.2669423222541809
location,organization,0.6944444444444445,0.26690587401390076
location,sea,0.4861111111111111,0.2667303681373596
location,ability,0.5238095238095238,0.266234427690506
location,content,0.6071428571428571,0.2655722498893738
location,population,0.8107142857142856,0.2648274898529053
location,text,0.4583333333333333,0.2646336257457733
