Noun,Class,Jaro-Winkler_Score,Cosine_Sim_Score
profession,society,0.46507936507936504,0.5760605335235596
profession,knowledge,0.4740740740740741,0.5662928223609924
profession,practitioner,0.638888888888889,0.5563092231750488
profession,specialization,0.6206349206349207,0.5477058291435242
profession,institution,0.5878787878787879,0.5448758602142334
profession,skill,0.0,0.5375374555587769
profession,reputation,0.6777777777777777,0.5234521627426147
profession,practice,0.5499999999999999,0.517784833908081
profession,employment,0.5166666666666667,0.5106989145278931
profession,responsibility,0.6238095238095238,0.506468653678894
profession,job,0.4777777777777778,0.4855664372444153
profession,role,0.6833333333333332,0.48378345370292664
profession,degree,0.3444444444444444,0.4816337823867798
profession,physician,0.6148148148148148,0.47508183121681213
profession,belief,0.48888888888888893,0.46442127227783203
profession,opportunity,0.5181818181818182,0.4610608220100403
profession,desire,0.5222222222222223,0.4561745524406433
profession,life,0.5666666666666667,0.455960214138031
profession,attention,0.6148148148148148,0.4502246379852295
profession,occupation,0.6,0.4495106041431427
profession,employer,0.44722222222222224,0.44701412320137024
profession,focus,0.5222222222222221,0.4447760283946991
profession,organisation,0.5888888888888889,0.44293394684791565
profession,justice,0.46507936507936504,0.4414754807949066
profession,consequence,0.5045454545454545,0.4404721260070801
profession,religion,0.6416666666666667,0.43848347663879395
profession,faculty,0.4142857142857143,0.4375930428504944
profession,organization,0.5055555555555555,0.43752777576446533
profession,worker,0.48888888888888893,0.43565377593040466
profession,care,0.5666666666666667,0.4351961016654968
profession,person,0.78,0.4335305094718933
profession,respect,0.4904761904761905,0.42977359890937805
profession,purpose,0.6714285714285714,0.42659321427345276
profession,circumstance,0.5166666666666667,0.42306211590766907
profession,teacher,0.4142857142857143,0.4197261333465576
profession,university,0.5166666666666667,0.4190642237663269
profession,relationship,0.5888888888888889,0.4186658561229706
profession,course,0.5222222222222223,0.41741037368774414
profession,success,0.5761904761904763,0.41698700189590454
profession,perception,0.6777777777777777,0.4165242612361908
profession,influence,0.5444444444444444,0.41463330388069153
profession,manner,0.3444444444444444,0.414409875869751
profession,objective,0.5444444444444444,0.4137434959411621
profession,authority,0.4333333333333333,0.412192165851593
profession,servant,0.46507936507936504,0.4116021692752838
profession,earn,0.39999999999999997,0.41090112924575806
profession,fact,0.45,0.4107881784439087
profession,honor,0.3666666666666667,0.4070356488227844
profession,scholar,0.4142857142857143,0.4053593575954437
profession,doctor,0.48888888888888893,0.40489017963409424
profession,reason,0.7111111111111112,0.40474897623062134
profession,level,0.43333333333333335,0.40452590584754944
profession,community,0.4333333333333333,0.40422964096069336
profession,nation,0.48888888888888893,0.4041776657104492
profession,ability,0.4142857142857143,0.40289926528930664
profession,viewpoint,0.6185185185185186,0.4024861454963684
profession,world,0.3666666666666667,0.4018065333366394
profession,individual,0.39999999999999997,0.401571661233902
profession,position,0.8049999999999999,0.39998918771743774
profession,task,0.45,0.39985889196395874
profession,public,0.5111111111111111,0.39894044399261475
profession,association,0.6595959595959596,0.3988170921802521
profession,politician,0.6,0.39783212542533875
profession,marriage,0.44722222222222224,0.39644330739974976
profession,truth,0.43333333333333335,0.39633792638778687
profession,principle,0.5314814814814816,0.3963175117969513
profession,situation,0.5444444444444444,0.3941003978252411
profession,status,0.4222222222222222,0.3933989107608795
profession,student,0.49523809523809526,0.3922177851200104
profession,struggle,0.48333333333333334,0.39175742864608765
profession,contribution,0.5722222222222223,0.3878980576992035
profession,gender,0.3444444444444444,0.38762161135673523
profession,instructor,0.4222222222222222,0.38724830746650696
profession,human,0.0,0.38619551062583923
profession,interest,0.44722222222222224,0.38444581627845764
profession,context,0.49523809523809526,0.383192777633667
profession,research,0.5583333333333333,0.3831135034561157
profession,believer,0.48333333333333334,0.3818769156932831
profession,decade,0.4222222222222222,0.38164517283439636
profession,counsel,0.46507936507936504,0.3813317120075226
profession,employee,0.44722222222222224,0.3806713819503784
profession,professor,0.9688888888888889,0.3791978359222412
profession,lawyer,0.3444444444444444,0.3755779266357422
profession,basis,0.5222222222222221,0.375571072101593
profession,rank,0.45,0.37504902482032776
profession,wage,0.45,0.37413784861564636
profession,priest,0.6888888888888888,0.3739427328109741
profession,journalist,0.43333333333333335,0.3737526834011078
profession,environment,0.5181818181818182,0.37297773361206055
profession,department,0.5166666666666667,0.3727470636367798
profession,background,0.5333333333333333,0.3682343363761902
profession,witness,0.5761904761904763,0.36739763617515564
profession,duty,0.0,0.36720529198646545
profession,duty,0.0,0.36720529198646545
profession,judgment,0.48333333333333334,0.3625589609146118
profession,difficulty,0.4666666666666666,0.3618847131729126
profession,patient,0.5738095238095239,0.35941362380981445
profession,idea,0.45,0.35862869024276733
profession,adulthood,0.4740740740740741,0.3585720956325531
profession,change,0.4222222222222222,0.35846585035324097
profession,thing,0.0,0.357444703578949
profession,freedom,0.4904761904761905,0.35717684030532837
profession,literacy,0.31666666666666665,0.35716602206230164
profession,reward,0.5111111111111111,0.35708528757095337
profession,sport,0.5222222222222221,0.3569766879081726
profession,candidate,0.3074074074074074,0.35626694560050964
profession,missionary,0.6,0.355630099773407
profession,school,0.5111111111111111,0.3545064330101013
profession,country,0.32857142857142857,0.3542434573173523
profession,class,0.5333333333333333,0.35405921936035156
profession,specialty,0.5444444444444444,0.3536437153816223
profession,behalf,0.3444444444444444,0.3520008325576782
profession,asset,0.5222222222222221,0.35174137353897095
profession,promise,0.8344444444444444,0.35102519392967224
profession,activism,0.31666666666666665,0.3489101231098175
profession,master,0.48888888888888893,0.3486965298652649
profession,character,0.4740740740740741,0.34839901328086853
profession,mission,0.6714285714285714,0.34814509749412537
profession,mission,0.6714285714285714,0.34814509749412537
profession,trade,0.5333333333333333,0.34723469614982605
profession,process,0.8733333333333334,0.34583035111427307
profession,field,0.5333333333333333,0.34418192505836487
profession,classroom,0.5518518518518518,0.34361761808395386
profession,century,0.32857142857142857,0.3427145481109619
profession,outcome,0.46507936507936504,0.3424198031425476
profession,part,0.5666666666666667,0.34146445989608765
profession,spouse,0.6055555555555555,0.34124869108200073
profession,father,0.48888888888888893,0.34118416905403137
profession,fear,0.5722222222222223,0.3396691679954529
profession,subject,0.4142857142857143,0.33914440870285034
profession,historian,0.6185185185185186,0.3369622528553009
profession,time,0.45,0.3346339166164398
profession,company,0.46507936507936504,0.3339705169200897
profession,researcher,0.5333333333333333,0.33291444182395935
profession,government,0.5166666666666667,0.3328985869884491
profession,attorney,0.4666666666666666,0.3311738073825836
profession,genius,0.48888888888888893,0.3308796286582947
profession,conclusion,0.6666666666666666,0.3298337161540985
profession,assistance,0.6,0.32931628823280334
profession,church,0.4222222222222222,0.32909536361694336
profession,effort,0.5222222222222223,0.3281424045562744
profession,impact,0.4222222222222222,0.32786184549331665
profession,service,0.46507936507936504,0.3275778591632843
profession,majority,0.44722222222222224,0.32653582096099854
profession,publication,0.5878787878787879,0.32520535588264465
profession,consumer,0.44722222222222224,0.3251851499080658
profession,friendship,0.6,0.32465723156929016
profession,instance,0.44722222222222224,0.3244093656539917
profession,decision,0.6416666666666667,0.32189029455184937
profession,member,0.3444444444444444,0.32182687520980835
profession,entity,0.5111111111111111,0.32087475061416626
profession,study,0.0,0.3208131492137909
profession,independence,0.4055555555555556,0.32079067826271057
profession,liberty,0.32857142857142857,0.3204268515110016
profession,discrimination,0.48571428571428577,0.3198496103286743
profession,help,0.39999999999999997,0.31980612874031067
profession,money,0.5333333333333333,0.3193027973175049
profession,investment,0.5333333333333333,0.3190726041793823
profession,feel,0.5666666666666667,0.3187582492828369
profession,crime,0.5333333333333333,0.31838923692703247
profession,representation,0.5904761904761905,0.3183610141277313
profession,judge,0.43333333333333335,0.31800106167793274
profession,resource,0.5499999999999999,0.3176494240760803
profession,occasion,0.7083333333333334,0.31655243039131165
profession,instruction,0.5848484848484848,0.3161042630672455
profession,conversation,0.7134920634920635,0.315480500459671
profession,blessing,0.7083333333333334,0.31520527601242065
profession,jurisdiction,0.5722222222222223,0.31490975618362427
profession,grave,0.5333333333333333,0.31460514664649963
profession,ownership,0.6185185185185186,0.31379392743110657
profession,testimony,0.5518518518518518,0.31223946809768677
profession,think,0.0,0.3116743564605713
profession,provider,0.6416666666666667,0.310656875371933
profession,place,0.5333333333333333,0.310603529214859
profession,aid,0.0,0.3102615475654602
profession,painter,0.49523809523809526,0.31011974811553955
profession,award,0.43333333333333335,0.3099457919597626
profession,whole,0.5333333333333333,0.30911722779273987
profession,participant,0.5878787878787879,0.3086375296115875
profession,topic,0.5222222222222221,0.30764031410217285
profession,audience,0.44722222222222224,0.30670568346977234
profession,author,0.3444444444444444,0.30659860372543335
profession,punishment,0.6,0.305593341588974
profession,genre,0.3666666666666667,0.3047224283218384
profession,language,0.4083333333333334,0.30416905879974365
profession,state,0.43333333333333335,0.3035944402217865
profession,attempt,0.4142857142857143,0.30339935421943665
profession,slavery,0.32857142857142857,0.30289074778556824
profession,point,0.5333333333333333,0.30267414450645447
profession,broker,0.6,0.3014257252216339
profession,child,0.0,0.30076727271080017
profession,risk,0.5666666666666667,0.30045416951179504
profession,guide,0.43333333333333335,0.2999300956726074
profession,shift,0.43333333333333335,0.29942604899406433
profession,officer,0.5738095238095239,0.2993922531604767
profession,market,0.5111111111111111,0.2993004620075226
profession,controversy,0.5181818181818182,0.2990279793739319
profession,argument,0.5583333333333333,0.29868173599243164
profession,office,0.6055555555555555,0.2985733449459076
profession,result,0.6,0.29815688729286194
profession,premise,0.6714285714285714,0.29802146553993225
profession,veteran,0.46507936507936504,0.29775574803352356
profession,household,0.5314814814814816,0.29716184735298157
profession,right,0.43333333333333335,0.2967205047607422
profession,hospital,0.5499999999999999,0.2965967357158661
profession,continent,0.5314814814814816,0.2962936758995056
profession,pension,0.7371428571428572,0.2962700426578522
profession,woman,0.43333333333333335,0.2949262857437134
profession,intelligence,0.5166666666666667,0.29468098282814026
profession,suffer,0.48888888888888893,0.29466748237609863
profession,detail,0.5111111111111111,0.29315945506095886
profession,introduction,0.638888888888889,0.29306572675704956
profession,issue,0.5222222222222221,0.2896573841571808
profession,death,0.43333333333333335,0.28954899311065674
profession,speech,0.5111111111111111,0.2885328233242035
profession,seamstress,0.5333333333333333,0.2885190546512604
profession,mother,0.48888888888888893,0.28649649024009705
profession,activity,0.4083333333333334,0.2862968146800995
profession,artist,0.48888888888888893,0.28613796830177307
profession,mean,0.45,0.2861158847808838
profession,family,0.5111111111111111,0.2857905328273773
profession,effect,0.3444444444444444,0.28516483306884766
profession,preacher,0.5583333333333333,0.28484153747558594
profession,force,0.65,0.2847907841205597
profession,major,0.3666666666666667,0.28436094522476196
profession,laborer,0.46507936507936504,0.28435683250427246
profession,victim,0.4222222222222222,0.28418827056884766
profession,recipient,0.5518518518518518,0.2835997939109802
profession,word,0.39999999999999997,0.2825149595737457
profession,birth,0.43333333333333335,0.2824786305427551
profession,contractor,0.4222222222222222,0.28247591853141785
profession,pastor,0.6055555555555555,0.2823829650878906
profession,legislature,0.41313131313131307,0.2821817696094513
profession,value,0.43333333333333335,0.2820586860179901
profession,chance,0.4222222222222222,0.2814604938030243
profession,customer,0.44722222222222224,0.2801957428455353
profession,fate,0.5666666666666667,0.2799755334854126
profession,convention,0.6,0.27962565422058105
profession,order,0.5222222222222221,0.27926385402679443
profession,congregation,0.6444444444444445,0.27884238958358765
profession,homeland,0.5583333333333333,0.27832669019699097
profession,estate,0.5111111111111111,0.2773943543434143
profession,disease,0.46507936507936504,0.27717748284339905
profession,firefighter,0.5045454545454545,0.27638569474220276
profession,blacksmith,0.4666666666666666,0.27541887760162354
profession,pain,0.45,0.2743281126022339
profession,abolition,0.6148148148148148,0.27254870533943176
profession,account,0.49523809523809526,0.27138757705688477
profession,support,0.46507936507936504,0.27104493975639343
profession,figure,0.48888888888888893,0.27096062898635864
profession,man,0.0,0.27064040303230286
profession,portfolio,0.6444444444444444,0.27057433128356934
profession,strength,0.48333333333333334,0.27055972814559937
profession,carpenter,0.5314814814814816,0.2695061266422272
profession,deceased,0.48333333333333334,0.2691098749637604
profession,gospel,0.5222222222222223,0.2687251567840576
profession,cause,0.3666666666666667,0.2687019407749176
profession,cause,0.3666666666666667,0.2687019407749176
profession,activist,0.31666666666666665,0.2685524821281433
profession,trader,0.5111111111111111,0.2684437930583954
profession,tool,0.45,0.26831376552581787
profession,plaintiff,0.4333333333333333,0.2680172920227051
profession,favor,0.5222222222222221,0.2679160535335541
profession,system,0.3444444444444444,0.26727551221847534
profession,merchant,0.44722222222222224,0.26722609996795654
profession,prayer,0.6,0.26660090684890747
profession,face,0.5666666666666667,0.26623401045799255
profession,offence,0.5761904761904763,0.2652886211872101
profession,photographer,0.49444444444444446,0.2635003924369812
