Noun,Class,Jaro-Winkler_Score,Cosine_Sim_Score
quality,product,0.42857142857142855,0.5402782559394836
quality,performance,0.0,0.5049941539764404
quality,supplier,0.6011904761904762,0.4967862665653229
quality,customer,0.5119047619047619,0.49341443181037903
quality,reputation,0.5738095238095239,0.48101407289505005
quality,service,0.42857142857142855,0.4724440574645996
quality,material,0.4900793650793651,0.47134774923324585
quality,manufacturer,0.44841269841269843,0.4698828458786011
quality,equipment,0.671957671957672,0.45208245515823364
quality,quantity,0.8694444444444446,0.4479058086872101
quality,value,0.565079365079365,0.4463852345943451
quality,specialty,0.6899470899470899,0.44032835960388184
quality,attention,0.4761904761904761,0.44010332226753235
quality,focus,0.44761904761904764,0.4351250231266022
quality,level,0.44761904761904764,0.43424707651138306
quality,content,0.42857142857142855,0.4337102174758911
quality,care,0.46428571428571425,0.4334047734737396
quality,detail,0.5317460317460317,0.4312417805194855
quality,style,0.44761904761904764,0.42867720127105713
quality,ability,0.7428571428571429,0.42260444164276123
quality,price,0.44761904761904764,0.42136630415916443
quality,impact,0.5396825396825397,0.41472354531288147
quality,environment,0.41125541125541126,0.4126056432723999
quality,consumer,0.4226190476190476,0.40894705057144165
quality,success,0.42857142857142855,0.4087458550930023
quality,knowledge,0.41798941798941797,0.4065101742744446
quality,individual,0.4142857142857143,0.40394291281700134
quality,use,0.4920634920634921,0.4037501811981201
quality,reproduction,0.44841269841269843,0.40135645866394043
quality,color,0.44761904761904764,0.39970502257347107
quality,hardware,0.4226190476190476,0.39505666494369507
quality,market,0.5396825396825397,0.3948485851287842
quality,result,0.6428571428571429,0.3930419385433197
quality,process,0.0,0.3907013237476349
quality,purpose,0.42857142857142855,0.39021116495132446
quality,company,0.5238095238095238,0.3898417353630066
quality,food,0.0,0.3895677626132965
quality,feel,0.46428571428571425,0.3891025483608246
quality,strength,0.4226190476190476,0.3886861503124237
quality,resource,0.4226190476190476,0.3869265019893646
quality,effort,0.4365079365079365,0.38409197330474854
quality,life,0.0,0.3840114176273346
quality,objective,0.335978835978836,0.3795173466205597
quality,information,0.45598845598845594,0.3770856261253357
quality,resolution,0.4904761904761905,0.3739089071750641
quality,furniture,0.5873015873015873,0.37358570098876953
quality,condition,0.5026455026455027,0.3687213957309723
quality,job,0.0,0.36847245693206787
quality,medium,0.4365079365079365,0.3665112853050232
quality,desire,0.4365079365079365,0.3661416471004486
quality,size,0.0,0.36487993597984314
quality,opportunity,0.45598845598845594,0.3644506335258484
quality,provider,0.4226190476190476,0.36403119564056396
quality,order,0.0,0.36399370431900024
quality,website,0.5238095238095238,0.3627628684043884
quality,website,0.5238095238095238,0.3627628684043884
quality,purchase,0.5119047619047619,0.36207205057144165
quality,construction,0.44841269841269843,0.36069393157958984
quality,home,0.0,0.36008909344673157
quality,image,0.44761904761904764,0.360049307346344
quality,fact,0.5952380952380952,0.35913604497909546
quality,respect,0.42857142857142855,0.35882997512817383
quality,whole,0.44761904761904764,0.35866257548332214
quality,source,0.4365079365079365,0.3584382236003876
quality,protection,0.32857142857142857,0.35774317383766174
quality,manner,0.4365079365079365,0.3565804064273834
quality,place,0.3952380952380952,0.35500821471214294
quality,feature,0.5238095238095238,0.3542841076850891
quality,help,0.46428571428571425,0.3514808118343353
quality,shop,0.0,0.3495134711265564
quality,collection,0.46507936507936504,0.34933409094810486
quality,portfolio,0.4761904761904761,0.3488222360610962
quality,reason,0.4365079365079365,0.3483481705188751
quality,right,0.44761904761904764,0.34594598412513733
quality,component,0.41798941798941797,0.3454717993736267
quality,piece,0.0,0.3446533977985382
quality,background,0.4142857142857143,0.34419652819633484
quality,promise,0.42857142857142855,0.3440612852573395
quality,output,0.5396825396825397,0.34391480684280396
quality,effect,0.4365079365079365,0.34293100237846375
quality,shape,0.44761904761904764,0.34194415807724
quality,type,0.0,0.3419351577758789
quality,skill,0.3952380952380952,0.3418627977371216
quality,time,0.0,0.3409983217716217
quality,responsibility,0.4047619047619047,0.33733874559402466
quality,support,0.5238095238095238,0.33606573939323425
quality,research,0.4226190476190476,0.332463800907135
quality,world,0.44761904761904764,0.331632137298584
quality,part,0.5952380952380952,0.33120816946029663
quality,set,0.0,0.32869166135787964
quality,factor,0.5396825396825397,0.3266172707080841
quality,basis,0.5619047619047619,0.3258008658885956
quality,line,0.0,0.325228214263916
quality,tool,0.46428571428571425,0.32238104939460754
quality,light,0.44761904761904764,0.32206785678863525
quality,investment,0.49523809523809526,0.32073354721069336
quality,treatment,0.5026455026455027,0.32040077447891235
quality,perception,0.32857142857142857,0.31967103481292725
quality,thing,0.44761904761904764,0.31942543387413025
quality,water,0.44761904761904764,0.3193284869194031
quality,artwork,0.42857142857142855,0.31926122307777405
quality,system,0.4365079365079365,0.3186171054840088
quality,mean,0.46428571428571425,0.3182438015937805
quality,outcome,0.42857142857142855,0.31732499599456787
quality,risk,0.0,0.3170386552810669
quality,human,0.5619047619047619,0.3164527416229248
quality,distribution,0.48412698412698413,0.3163836896419525
quality,appearance,0.4142857142857143,0.31612828373908997
quality,software,0.3452380952380952,0.315762460231781
quality,money,0.44761904761904764,0.31477031111717224
quality,buyer,0.44761904761904764,0.31441202759742737
quality,point,0.5619047619047619,0.31328827142715454
quality,degree,0.0,0.3117506206035614
quality,sport,0.44761904761904764,0.31170663237571716
quality,power,0.0,0.3110051453113556
quality,patient,0.6190476190476191,0.3102458417415619
quality,access,0.4365079365079365,0.30828818678855896
quality,field,0.44761904761904764,0.30776727199554443
quality,change,0.4365079365079365,0.30767226219177246
quality,energy,0.4365079365079365,0.30761048197746277
quality,majority,0.6904761904761904,0.30718258023262024
quality,cotton,0.4365079365079365,0.3055292069911957
quality,location,0.5238095238095238,0.3040163815021515
quality,location,0.5238095238095238,0.3040163815021515
quality,country,0.6190476190476191,0.30328625440597534
quality,duty,0.46428571428571425,0.30324605107307434
quality,duty,0.46428571428571425,0.30324605107307434
quality,fabric,0.5396825396825397,0.3027016818523407
quality,store,0.0,0.3021676242351532
quality,eye,0.0,0.301690012216568
quality,animal,0.5317460317460317,0.30037379264831543
quality,situation,0.5052910052910052,0.30026644468307495
quality,intensity,0.4761904761904761,0.29994943737983704
quality,input,0.5619047619047619,0.298917293548584
quality,difficulty,0.5738095238095239,0.2985368072986603
quality,community,0.671957671957672,0.29831427335739136
quality,fraction,0.4900793650793651,0.2982364296913147
quality,assistance,0.5761904761904763,0.2947416603565216
quality,build,0.565079365079365,0.2941604554653168
quality,number,0.4365079365079365,0.29378342628479004
quality,response,0.0,0.29320502281188965
quality,course,0.4365079365079365,0.2931533455848694
quality,asset,0.5619047619047619,0.2930847108364105
quality,area,0.46428571428571425,0.29289114475250244
quality,think,0.44761904761904764,0.292247474193573
quality,interest,0.4226190476190476,0.2921002209186554
quality,review,0.4365079365079365,0.2919718027114868
quality,end,0.0,0.2919187843799591
quality,idea,0.46428571428571425,0.2909071445465088
quality,option,0.4365079365079365,0.29075366258621216
quality,rest,0.46428571428571425,0.2907322943210602
quality,record,0.0,0.28947633504867554
quality,conversion,0.4142857142857143,0.28914138674736023
quality,black,0.3952380952380952,0.28909823298454285
quality,school,0.4365079365079365,0.2886427640914917
quality,practice,0.4900793650793651,0.28849685192108154
quality,major,0.44761904761904764,0.28663644194602966
quality,printer,0.5238095238095238,0.2861878275871277
quality,organization,0.5595238095238095,0.2859700620174408
quality,pet,0.0,0.28596290946006775
quality,view,0.0,0.28574198484420776
quality,ownership,0.41798941798941797,0.2846280634403229
quality,suit,0.7261904761904763,0.2828224003314972
quality,item,0.0,0.28279179334640503
quality,decision,0.4226190476190476,0.28233835101127625
quality,heat,0.5952380952380952,0.28183475136756897
quality,gift,0.46428571428571425,0.2786620259284973
quality,wedding,0.42857142857142855,0.2784866690635681
quality,public,0.6428571428571429,0.2784710228443146
quality,guide,0.5619047619047619,0.27819618582725525
quality,flower,0.4365079365079365,0.2781292200088501
quality,character,0.5026455026455027,0.2774817645549774
quality,paper,0.44761904761904764,0.27645808458328247
quality,transportation,0.30952380952380953,0.27621936798095703
quality,project,0.42857142857142855,0.2759782671928406
quality,ground,0.4365079365079365,0.2758732736110687
quality,ink,0.0,0.275722861289978
quality,role,0.46428571428571425,0.2754911482334137
quality,case,0.46428571428571425,0.27532920241355896
quality,department,0.49523809523809526,0.2752578854560852
quality,loss,0.0,0.27515342831611633
quality,transport,0.5026455026455027,0.27455073595046997
quality,representation,0.4047619047619047,0.27423205971717834
quality,influence,0.335978835978836,0.27383914589881897
quality,action,0.5396825396825397,0.2734982967376709
quality,dimension,0.41798941798941797,0.2734520435333252
quality,position,0.5119047619047619,0.27345091104507446
quality,film,0.46428571428571425,0.27172309160232544
quality,property,0.5119047619047619,0.2702043354511261
quality,relationship,0.4682539682539682,0.26989468932151794
quality,seller,0.4365079365079365,0.2697482407093048
quality,frequency,0.5873015873015873,0.2685372829437256
quality,room,0.0,0.26783856749534607
quality,master,0.5396825396825397,0.26467183232307434
quality,category,0.6011904761904762,0.2641156017780304
quality,bag,0.4920634920634921,0.26394617557525635
quality,photo,0.44761904761904764,0.26298603415489197
quality,award,0.44761904761904764,0.26285967230796814
quality,cause,0.3952380952380952,0.26270541548728943
quality,cause,0.3952380952380952,0.26270541548728943
