CQ_String,Enslaved_String,Jaro-Winkler_Score,Cosine_Sim_Score
diabetes,disease,0.8063492063492064,0.7507222890853882
diabetes,risk,0.4583333333333333,0.5625535845756531
diabetes,symptom,0.4226190476190476,0.5430343151092529
diabetes,symptom,0.4226190476190476,0.5430343151092529
diabetes,blood,0.44166666666666665,0.5373503565788269
diabetes,treatment,0.5648148148148148,0.5312670469284058
diabetes,treatment,0.5648148148148148,0.5312670469284058
diabetes,patient,0.5238095238095238,0.5277275443077087
diabetes,treat,0.5472222222222222,0.4889366924762726
diabetes,doctor,0.5277777777777778,0.4797426164150238
diabetes,pain,0.4166666666666667,0.47201812267303467
diabetes,loss,0.0,0.4709321856498718
diabetes,suffer,0.4305555555555555,0.4637540280818939
diabetes,severity,0.47222222222222215,0.45922133326530457
diabetes,cause,0.5499999999999999,0.45848068594932556
diabetes,cause,0.5499999999999999,0.45848068594932556
diabetes,cause,0.5499999999999999,0.45848068594932556
diabetes,cause,0.5499999999999999,0.45848068594932556
diabetes,physician,0.41203703703703703,0.45524442195892334
diabetes,adulthood,0.4583333333333333,0.4490196406841278
diabetes,calorie,0.5119047619047619,0.4445990324020386
diabetes,study,0.44166666666666665,0.4376530945301056
diabetes,study,0.44166666666666665,0.4376530945301056
diabetes,study,0.44166666666666665,0.4376530945301056
diabetes,care,0.5833333333333334,0.42271697521209717
diabetes,artery,0.5138888888888888,0.42221975326538086
diabetes,vaccine,0.4900793650793651,0.40876948833465576
diabetes,affect,0.625,0.406457781791687
diabetes,research,0.47222222222222215,0.3937322497367859
diabetes,hospital,0.5,0.391722172498703
diabetes,outcome,0.3452380952380952,0.3909182548522949
diabetes,outcome,0.3452380952380952,0.3909182548522949
diabetes,birth,0.5472222222222222,0.39035525918006897
diabetes,age,0.6388888888888888,0.38659539818763733
diabetes,injury,0.4305555555555555,0.38633131980895996
diabetes,food,0.4583333333333333,0.38155537843704224
diabetes,association,0.43813131313131315,0.38017138838768005
diabetes,condition,0.5694444444444444,0.37363526225090027
diabetes,type,0.4583333333333333,0.3707408905029297
diabetes,type,0.4583333333333333,0.3707408905029297
diabetes,factor,0.5277777777777778,0.36705633997917175
diabetes,population,0.48333333333333334,0.36251476407051086
diabetes,population,0.48333333333333334,0.36251476407051086
diabetes,infant,0.625,0.35432684421539307
diabetes,gender,0.5138888888888888,0.3365774154663086
diabetes,gender,0.5138888888888888,0.3365774154663086
diabetes,result,0.5277777777777778,0.3302447199821472
diabetes,result,0.5277777777777778,0.3302447199821472
diabetes,human,0.44166666666666665,0.329648494720459
diabetes,child,0.44166666666666665,0.32408830523490906
diabetes,death,0.6833333333333332,0.32186219096183777
diabetes,impact,0.625,0.32149726152420044
diabetes,help,0.4583333333333333,0.32110077142715454
diabetes,lack,0.4583333333333333,0.3190682828426361
