Verb,Predicate,Jaro-Winkler_Score,Cosine_Sim_Score
grow,plant,0.0,0.5274151563644409
grow,flowering,0.5740740740740741,0.49905598163604736
grow,help,0.0,0.4808063507080078
grow,desire,0.0,0.4729864001274109
grow,life,0.0,0.46965500712394714
grow,ability,0.0,0.4551562964916229
grow,opportunity,0.393939393939394,0.45146650075912476
grow,success,0.0,0.44130516052246094
grow,build,0.0,0.4381507933139801
grow,struggle,0.4583333333333333,0.43639233708381653
grow,suffer,0.0,0.43626290559768677
grow,world,0.4666666666666666,0.43492069840431213
grow,promise,0.5952380952380952,0.434557169675827
grow,feel,0.0,0.43024834990501404
grow,tree,0.5,0.4270324409008026
grow,fruit,0.48333333333333334,0.4266681969165802
grow,focus,0.48333333333333334,0.42476770281791687
grow,market,0.47222222222222215,0.4218637943267822
grow,change,0.0,0.4212939143180847
grow,mean,0.0,0.4200216829776764
grow,think,0.0,0.41668373346328735
grow,flower,0.611111111111111,0.4128466546535492
grow,rest,0.5,0.39996519684791565
grow,whole,0.48333333333333334,0.399097740650177
grow,cause,0.0,0.3977072834968567
grow,cause,0.0,0.3977072834968567
grow,environment,0.5606060606060607,0.39645394682884216
grow,care,0.5,0.39586761593818665
grow,year,0.0,0.39563554525375366
grow,decade,0.0,0.39250797033309937
grow,reason,0.611111111111111,0.3854663074016571
grow,fear,0.0,0.3851530849933624
grow,society,0.46428571428571425,0.3850879669189453
grow,nation,0.47222222222222215,0.38459616899490356
grow,attention,0.0,0.3845435678958893
grow,money,0.48333333333333334,0.3843652904033661
grow,thing,0.0,0.38433006405830383
grow,investment,0.0,0.3838527500629425
grow,time,0.0,0.37906160950660706
grow,country,0.46428571428571425,0.37882667779922485
grow,right,0.48333333333333334,0.37842318415641785
grow,adulthood,0.0,0.3780636191368103
grow,community,0.4537037037037037,0.3747258186340332
grow,effort,0.47222222222222215,0.3717631697654724
grow,knowledge,0.5740740740740741,0.3716389238834381
grow,chance,0.0,0.371108740568161
grow,fact,0.0,0.37071511149406433
grow,shape,0.0,0.37055251002311707
grow,baby,0.0,0.36878034472465515
grow,idea,0.0,0.364303857088089
grow,earn,0.5,0.36259162425994873
grow,relationship,0.5555555555555555,0.3623848259449005
grow,place,0.0,0.3622572720050812
grow,end,0.0,0.358875036239624
grow,ground,0.825,0.35887470841407776
grow,energy,0.47222222222222215,0.3586443066596985
grow,interest,0.4583333333333333,0.3568175137042999
grow,population,0.45,0.3560361862182617
grow,strength,0.4583333333333333,0.34831613302230835
grow,human,0.0,0.34720540046691895
grow,medium,0.0,0.34695547819137573
grow,family,0.0,0.34689849615097046
grow,friendship,0.45,0.3463073670864105
grow,herb,0.5,0.3447972238063812
grow,face,0.0,0.34368547797203064
grow,half,0.0,0.34270843863487244
grow,job,0.5277777777777778,0.3422713875770569
grow,figure,0.47222222222222215,0.341145396232605
grow,company,0.46428571428571425,0.3392258882522583
grow,child,0.0,0.33909472823143005
grow,truth,0.48333333333333334,0.3386668562889099
grow,respect,0.46428571428571425,0.3357712924480438
grow,plan,0.0,0.33106857538223267
grow,disease,0.0,0.3307083547115326
grow,impact,0.0,0.33035486936569214
grow,responsibility,0.5476190476190476,0.3291800618171692
grow,spring,0.47222222222222215,0.3290151357650757
grow,belief,0.0,0.32785436511039734
grow,organization,0.5555555555555555,0.32682737708091736
grow,parent,0.47222222222222215,0.3264447748661041
grow,man,0.0,0.3262169361114502
grow,influence,0.0,0.3254626393318176
grow,use,0.0,0.32525110244750977
grow,food,0.5,0.3239721357822418
grow,majority,0.4166666666666667,0.32368385791778564
grow,risk,0.5,0.3231194317340851
