Verb,Predicate,Jaro-Winkler_Score,Cosine_Sim_Score
publish,publication,0.8488783943329398,0.6763807535171509
publish,publisher,0.9777777777777777,0.5887348651885986
publish,write,0.44761904761904764,0.5790662169456482
publish,website,0.5079365079365079,0.562475323677063
publish,website,0.5079365079365079,0.562475323677063
publish,permission,0.5761904761904763,0.5230430364608765
publish,document,0.4226190476190476,0.5038619637489319
publish,article,0.35714285714285715,0.502810001373291
publish,read,0.0,0.49995067715644836
publish,content,0.0,0.4843739867210388
publish,page,0.46428571428571425,0.4643141031265259
publish,manuscript,0.46507936507936504,0.4610610902309418
publish,book,0.46428571428571425,0.4570034146308899
publish,author,0.4365079365079365,0.4521956741809845
publish,editor,0.4365079365079365,0.44365352392196655
publish,report,0.4365079365079365,0.44348636269569397
publish,newspaper,0.41798941798941797,0.44027358293533325
publish,request,0.5238095238095238,0.4371248781681061
publish,text,0.0,0.425830215215683
publish,issue,0.44761904761904764,0.41629740595817566
publish,information,0.41125541125541126,0.41537216305732727
publish,attempt,0.0,0.4132525622844696
publish,list,0.0,0.39939382672309875
publish,reader,0.0,0.39549490809440613
publish,preface,0.42857142857142855,0.38705962896347046
publish,news,0.46428571428571425,0.3850884735584259
publish,database,0.5119047619047619,0.3848857879638672
publish,account,0.0,0.3839535415172577
publish,blogpost,0.6011904761904762,0.3822455406188965
publish,release,0.5238095238095238,0.3780672252178192
publish,subject,0.5238095238095238,0.3765631914138794
publish,comment,0.0,0.3746764659881592
publish,topic,0.5619047619047619,0.37295788526535034
publish,official,0.4226190476190476,0.37102457880973816
publish,address,0.42857142857142855,0.36857664585113525
publish,order,0.0,0.366696834564209
publish,use,0.4920634920634921,0.36410295963287354
publish,access,0.4365079365079365,0.3626169264316559
publish,review,0.4365079365079365,0.362556517124176
publish,research,0.5119047619047619,0.361482173204422
publish,public,0.9246031746031746,0.3607492446899414
publish,statement,0.0,0.359758585691452
publish,opportunity,0.48917748917748916,0.35672804713249207
publish,change,0.0,0.35547882318496704
publish,effort,0.0,0.35327136516571045
publish,behalf,0.5396825396825397,0.348030686378479
publish,novel,0.44761904761904764,0.3478739559650421
publish,conclusion,0.4904761904761905,0.3467579483985901
publish,user,0.46428571428571425,0.3429630994796753
publish,decision,0.5119047619047619,0.34037232398986816
publish,objective,0.5026455026455027,0.339735209941864
publish,fact,0.0,0.3386755585670471
publish,diary,0.0,0.33561035990715027
publish,mail,0.42857142857142855,0.33302608132362366
publish,responsibility,0.5357142857142857,0.3326420485973358
publish,basis,0.6761904761904761,0.3321654498577118
publish,reason,0.4365079365079365,0.3314020037651062
publish,promise,0.6190476190476191,0.33115121722221375
publish,story,0.0,0.3300326466560364
publish,petition,0.5119047619047619,0.32986241579055786
publish,ability,0.5079365079365079,0.32960543036460876
publish,resource,0.3452380952380952,0.3259413242340088
publish,view,0.0,0.3252371549606323
publish,purpose,0.6190476190476191,0.32505714893341064
publish,biography,0.5873015873015873,0.32451173663139343
publish,paper,0.44761904761904764,0.32327473163604736
publish,software,0.0,0.32315680384635925
publish,project,0.42857142857142855,0.3230975270271301
publish,portfolio,0.5873015873015873,0.32199835777282715
publish,journalist,0.6571428571428571,0.3206430673599243
publish,individual,0.4142857142857143,0.31853559613227844
publish,warrant,0.0,0.31628385186195374
publish,interest,0.4226190476190476,0.3160984516143799
publish,idea,0.0,0.3137111961841583
publish,message,0.42857142857142855,0.31309908628463745
publish,desire,0.4365079365079365,0.3119763135910034
publish,attention,0.41798941798941797,0.31111469864845276
publish,knowledge,0.41798941798941797,0.31090474128723145
publish,authority,0.4761904761904761,0.3106439709663391
publish,think,0.44761904761904764,0.3101961314678192
publish,invoice,0.42857142857142855,0.3101230263710022
publish,manner,0.0,0.3097898066043854
publish,organisation,0.48412698412698413,0.3073083460330963
publish,obituary,0.4900793650793651,0.30651456117630005
publish,institution,0.48917748917748916,0.3042294383049011
publish,invitation,0.4142857142857143,0.3021375238895416
publish,material,0.4226190476190476,0.3020854890346527
publish,government,0.0,0.30207186937332153
publish,source,0.4365079365079365,0.30171582102775574
publish,right,0.0,0.30160772800445557
publish,help,0.46428571428571425,0.30099228024482727
publish,study,0.44761904761904764,0.3007640242576599
publish,introduction,0.31746031746031744,0.29957759380340576
publish,record,0.0,0.2993030250072479
publish,context,0.0,0.295468270778656
publish,word,0.0,0.29491689801216125
publish,employer,0.5119047619047619,0.293701708316803
publish,task,0.0,0.2900797128677368
publish,chance,0.0,0.2899923026561737
publish,collection,0.49523809523809526,0.28971636295318604
publish,response,0.3452380952380952,0.2892988324165344
publish,time,0.0,0.28925371170043945
publish,instance,0.4226190476190476,0.2889147400856018
publish,university,0.5761904761904763,0.2873010039329529
publish,organization,0.4087301587301588,0.2872515022754669
publish,creator,0.0,0.28714489936828613
publish,overview,0.4226190476190476,0.2859025299549103
publish,product,0.42857142857142855,0.28577151894569397
publish,mean,0.0,0.2842086851596832
publish,purchase,0.6071428571428571,0.283852756023407
publish,faculty,0.5238095238095238,0.28249114751815796
publish,company,0.0,0.28196483850479126
publish,viewpoint,0.41798941798941797,0.28155720233917236
publish,script,0.4365079365079365,0.28145480155944824
publish,truth,0.5619047619047619,0.281391978263855
publish,guide,0.5619047619047619,0.28129813075065613
publish,process,0.5238095238095238,0.2810867726802826
publish,exchange,0.4226190476190476,0.27913007140159607
publish,tool,0.46428571428571425,0.2780900299549103
publish,audience,0.5119047619047619,0.2776930332183838
publish,judge,0.44761904761904764,0.27744609117507935
publish,plan,0.5952380952380952,0.27713364362716675
publish,service,0.42857142857142855,0.2770999073982239
publish,entry,0.0,0.27586543560028076
publish,artwork,0.0,0.2752939760684967
publish,focus,0.5619047619047619,0.27458658814430237
publish,contribution,0.31746031746031744,0.27442052960395813
publish,language,0.3452380952380952,0.2730306088924408
publish,detail,0.373015873015873,0.2729112505912781
publish,build,0.6238095238095238,0.272616446018219
publish,set,0.0,0.2718052864074707
publish,respect,0.0,0.27179622650146484
publish,recipient,0.41798941798941797,0.27076658606529236
publish,whole,0.44761904761904764,0.2701954245567322
publish,result,0.5396825396825397,0.2692471742630005
publish,genre,0.0,0.2686915099620819
publish,memoir,0.4365079365079365,0.2683454751968384
publish,earn,0.0,0.26748502254486084
publish,provider,0.5119047619047619,0.26584792137145996
publish,feature,0.0,0.26580730080604553
publish,entity,0.4365079365079365,0.2649911344051361
publish,number,0.5396825396825397,0.2630292475223541
publish,outcome,0.42857142857142855,0.2615549862384796
publish,award,0.0,0.26077964901924133
publish,course,0.5396825396825397,0.26015838980674744
publish,distribution,0.44841269841269843,0.2596234083175659
publish,customer,0.5119047619047619,0.2594594955444336
publish,person,0.5396825396825397,0.2584567070007324
publish,community,0.5026455026455027,0.25754791498184204
publish,item,0.0,0.2574750483036041
publish,point,0.5619047619047619,0.2574237585067749
publish,conversation,0.31746031746031744,0.2572246789932251
publish,consequence,0.41125541125541126,0.2562447488307953
publish,occasion,0.3452380952380952,0.2554836571216583
publish,freedom,0.0,0.25494375824928284
publish,option,0.5396825396825397,0.25424546003341675
publish,place,0.5619047619047619,0.252521812915802
publish,photo,0.44761904761904764,0.2519467771053314
publish,meeting,0.42857142857142855,0.2516357898712158
publish,feel,0.46428571428571425,0.2514551281929016
publish,society,0.42857142857142855,0.2502833306789398
publish,majority,0.4226190476190476,0.25019747018814087
publish,success,0.5238095238095238,0.2493230402469635
publish,money,0.0,0.24720598757266998
publish,trial,0.3952380952380952,0.24699142575263977
publish,ownership,0.4761904761904761,0.24656595289707184
publish,seller,0.4365079365079365,0.24625475704669952
publish,piece,0.44761904761904764,0.24603179097175598
publish,support,0.35714285714285715,0.24543961882591248
publish,controversy,0.41125541125541126,0.24500679969787598
publish,world,0.44761904761904764,0.24499939382076263
publish,trade,0.0,0.24478264153003693
publish,version,0.35714285714285715,0.24367184937000275
publish,thing,0.44761904761904764,0.24252624809741974
publish,employee,0.5119047619047619,0.24231065809726715
publish,object,0.4365079365079365,0.24227803945541382
publish,printer,0.5238095238095238,0.2421208769083023
publish,poem,0.46428571428571425,0.2417869120836258
publish,property,0.4226190476190476,0.24138180911540985
publish,status,0.4365079365079365,0.2406359314918518
publish,image,0.0,0.24032072722911835
publish,funding,0.5238095238095238,0.24027271568775177
publish,argument,0.4226190476190476,0.23979133367538452
