hasLocation	[5, ['action', 'hazardevent', 'landslide', 'plantation', 'wildfires']]
name	[5, ['descendant', 'enslavedperson', 'godmother', 'people', 'ships']]
hasAge	[3, ['grandparents', 'person', 'slaveowner']]
hasName	[3, ['person', 'slave', 'slaveowner']]
hasSeverity	[3, ['hazard', 'hazardevent', 'landslide']]
hasType	[3, ['entity', 'ships', 'storm']]
location	[3, ['disastertype', 'event', 'tornado']]
owns	[2, ['ships', 'slaveowner']]
hasValue	[2, ['data', 'value']]
hasGender	[2, ['gender', 'person']]
hasCause	[2, ['fire', 'wildfires']]
hasEffect	[2, ['fire', 'wildfires']]
endDate	[2, ['membership', 'period']]
startDate	[2, ['membership', 'period']]
duration	[2, ['flood', 'tornado']]
severity	[2, ['flood', 'stormsurges']]
length	[2, ['ships', 'week']]
gender	[2, ['descendant', 'enslavedperson']]
hasOrigin	[2, ['religion', 'slave']]
date	[2, ['disastertype', 'manumission']]
age	[2, ['enslavedperson', 'people']]
