Others	[2, ['Others', 'Others']]
Couch	[2, ['Couch', 'Couch']]
Home	[2, ['Home', 'Home']]
Eye	[2, ['Eye', 'Face']]
Art	[2, ['Art', 'Art']]
Morning	[2, ['Morning', 'Morning']]
Office	[2, ['Office', 'Office']]
Case	[2, ['Case', 'Case']]
Lot	[2, ['Lot', 'Lot']]
History	[2, ['History', 'History']]
Money	[2, ['Money', 'Money']]
Government	[2, ['Government', 'Government']]
Week	[2, ['Day', 'Week']]
Kind	[2, ['Kind', 'Kind']]
Family	[2, ['Family', 'Family']]
World	[2, ['World', 'World']]
War	[2, ['War', 'War']]
Period	[2, ['Art', 'Moment']]
Life	[2, ['Life', 'Water']]
System	[2, ['System', 'System']]
Way	[2, ['Way', 'Way']]
Info	[2, ['Information', 'Information']]
Power	[2, ['Power', 'Power']]
Story	[2, ['Story', 'Story']]
Community	[2, ['Community', 'Community']]
Parent	[3, ['Family', 'Father', 'Parent']]
Study	[2, ['Study', 'Study']]
Hand	[2, ['Hand', 'Hand']]
Work	[2, ['Work', 'Work']]
Service	[2, ['People', 'Service']]
Education	[3, ['Education', 'Education', 'Girl']]
Research	[2, ['Research', 'Study']]
Result	[3, ['Result', 'Result', 'Study']]
Teacher	[2, ['Education', 'Teacher']]
Issue	[2, ['Issue', 'Issue']]
Year	[2, ['Month', 'Year']]
End	[2, ['End', 'End']]
Day	[2, ['Day', 'Year']]
Time	[2, ['Minute', 'Party']]
Unit	[2, ['Area', 'Power']]
Team	[2, ['Team', 'Team']]
Month	[2, ['Month', 'Year']]
School	[2, ['Girl', 'Teacher']]
Body	[2, ['Body', 'Eye']]
Company	[2, ['Company', 'Work']]
Man	[2, ['Family', 'Father']]
Book	[2, ['Book', 'Book']]
Member	[2, ['Family', 'Member']]
Right	[2, ['Right', 'Right']]
Law	[2, ['Law', 'Right']]
Question	[2, ['Question', 'Question']]
State	[3, ['Government', 'State', 'Water']]
Game	[2, ['Game', 'Level']]
Face	[2, ['Face', 'Head']]
Water	[2, ['Water', 'Water']]
Fact	[2, ['Fact', 'Information']]
Property	[2, ['Kind', 'Lot']]
Point	[2, ['Line', 'Point']]
Position	[2, ['Hand', 'Job']]
Status	[2, ['Case', 'Issue']]
Type	[2, ['Couch', 'Place']]
Job	[2, ['Job', 'Work']]
City	[2, ['City', 'State']]
Category	[2, ['Part', 'Work']]
Child	[2, ['Child', 'Parent']]
Woman	[2, ['Family', 'Father']]
Mother	[2, ['Mother', 'Parent']]
Date	[2, ['Month', 'Year']]
Word	[2, ['Word', 'Word']]
Institution	[2, ['Research', 'Teacher']]
House	[2, ['House', 'World']]
Method	[2, ['Study', 'Way']]
Topic	[2, ['Question', 'Research']]
Number	[2, ['Number', 'Number']]
Platform	[2, ['Game', 'Program']]
Process	[2, ['Education', 'Part']]
Health	[2, ['Health', 'Health']]
Father	[2, ['Father', 'Parent']]
Leader	[2, ['Community', 'Government']]
Arm	[2, ['Body', 'Hand']]
Change	[2, ['Change', 'Force']]
Feature	[2, ['City', 'State']]
